level1,level2,level3,level4,level5
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Technology for conflict sensitive approach,Technology for conflict sensitive approach
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Education on usage of technology,Education on usage of technology
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Digital approaches,Digital approaches
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Digital literacy,Digital literacy
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Incorporation of technology innovators and computer scientests in peacebuilding,Incorporation of technology innovators and computer scientests in peacebuilding
Threats to Future,Rise of new geopolitics and warfare,Peace Education,Promote culture of peace,Promote culture of peace
Threats to Future,Rise of new geopolitics and warfare,Peace Education,Formal education programs to include pecebuilding,Formal education programs to include pecebuilding
Threats to Future,Rise of new geopolitics and warfare,Peace Education,mproved understanding of peacebuilding,mproved understanding of peacebuilding
Threats to Future,Rise of new geopolitics and warfare,Peace Education,Academia and policy connect,Academia and policy connect
Threats to Future,Rise of new geopolitics and warfare,Peace Education,Peacebuilding education incorporated in formal structures,Peacebuilding education incorporated in formal structures
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Creative thinking of new realities,Creative thinking of new realities
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Education of new threats,Education of new threats
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Research,Research
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Research and literature,Research and literature
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Research on the new,Research on the new
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Greater information and analysis on threats and roots,Greater information and analysis on threats and roots
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Peacebuilding Community wide agreed acknowledgement of the threats,Peacebuilding Community wide agreed acknowledgement of the threats
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Research and awareness raising on new forms of warfare,Research and awareness raising on new forms of warfare
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Information dissemination mechanisms across the peacebuilding community regarding geopolitics,Information dissemination mechanisms across the peacebuilding community regarding geopolitics
Threats to Future,Rise of new geopolitics and warfare,Increased Research,Creation of information sharing platforms and networks,Creation of information sharing platforms and networks
Threats to Future,Projectization of the field,Projectization of the field,Projectization of the field,Projectization of the field
Threats to Future,Resistance of the field to change,Resistance of the field to change,Resistance of the field to change,Resistance of the field to change
Threats to Future,Inability to show impact,Inability to show impact,Inability to show impact,Inability to show impact
Threats to Future,Failure to work collectively,Failure to work collectively,Failure to work collectively,Failure to work collectively
Threats to Future,Lack of support for long-term change,Lack of support for long-term change,Lack of support for long-term change,Lack of support for long-term change
