level1,level2,level3,level4,level5
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Grassroots information campaigns,Grassroots information campaigns
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Raise the voice of peace through influential persons,Raise the voice of peace through influential persons
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Show other sectors why peacebuilding is their responsibility,Show other sectors why peacebuilding is their responsibility
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Shared Language,Learn to speak the language of other sectors,Learn to speak the language of other sectors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Shared Language,Cultivate relationships and shared language between practitioners in global development and peacebuilding,Cultivate relationships and shared language between practitioners in global development and peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Shared Language,Funders specifically asking for development language to frame the work through dev indicators and frameworks (SDG goal 16+),Funders specifically asking for development language to frame the work through dev indicators and frameworks (SDG goal 16+)
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Shared Language,Shared language across sectors,Shared language across sectors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Incorporate trauma informed social change structures,Incorporate trauma informed social change structures
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Support local solutions,Support local solutions
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,System analysis (Peacebuilding tool),System analysis (Peacebuilding tool)
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Build new multilateral organizations on shared values of peace,Build new multilateral organizations on shared values of peace
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Attract actors from other sectors/disciplines to be involved with peacebuilding,Attract actors from other sectors/disciplines to be involved with peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Emphasis on healing and trauma acknowledgment,Emphasis on healing and trauma acknowledgment
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Empowering communities to be self sustainable through peace initiatives,Empowering communities to be self sustainable through peace initiatives
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Inserting peacebuilding into development dialogue and programs,Inserting peacebuilding into development dialogue and programs
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Adaptive models of intervention,Adaptive models of intervention
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Embrace scenario building as a standard methodology,Embrace scenario building as a standard methodology
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Embrace traditional concepts on community development and peace,Embrace traditional concepts on community development and peace
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Creation of peace foundations to support survivors,Creation of peace foundations to support survivors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Adapting interventions to context,Adapting interventions to context
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Capacity building programs that are interdisciplinary,Capacity building programs that are interdisciplinary
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Integrate peacebuilding as a social responsibility component,Integrate peacebuilding as a social responsibility component
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Programming,Thinking of peace at the center of Sustainable Development Goals,Thinking of peace at the center of Sustainable Development Goals
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Evidence,Building evidence base for cross sector approaches,Building evidence base for cross sector approaches
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Evidence,Developing common indicators for peacebuilding,Developing common indicators for peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Engagement of young peacebuilders in building cross sector frameworks,Engagement of young peacebuilders in building cross sector frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Revive New Deal framework and emphasize on protecting and expanding space for civil society,Revive New Deal framework and emphasize on protecting and expanding space for civil society
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Simplify multiple competing and complex frameworks,Simplify multiple competing and complex frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Focus on institutional and structural frameworks of conflict,Focus on institutional and structural frameworks of conflict
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Communication between peacebuilders and leaders to build frameworks,Communication between peacebuilders and leaders to build frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,"Using models of success, mainstreming peacebuilding within organizations","Using models of success, mainstreming peacebuilding within organizations"
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Connect peacebuilding strategies and programs to global frameworks,Connect peacebuilding strategies and programs to global frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Connect global frameworks to specific policy proposals,Connect global frameworks to specific policy proposals
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Peacebuilding field should use a rights based framework,Peacebuilding field should use a rights based framework
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Peacebuilding field should use an integral human development framework,Peacebuilding field should use an integral human development framework
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Provide proof of concept (Link results to frameworks),Provide proof of concept (Link results to frameworks)
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Aligning peacebuilding efforts towards global frameworks,Aligning peacebuilding efforts towards global frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Coordinate peacebuilding efforts to touch on all aspects of the framework,Coordinate peacebuilding efforts to touch on all aspects of the framework
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Framework should be contextualized according to different situations and circumstances,Framework should be contextualized according to different situations and circumstances
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,We should not get stuck in one framework,We should not get stuck in one framework
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Operationalizing frameworks,Operationalizing frameworks
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Frameworks,Applicability of global frameworks to everyday life,Applicability of global frameworks to everyday life
Opportunities for Future,Rising importance of DM&E,Rising importance of DM&E,Rising importance of DM&E,Rising importance of DM&E
Opportunities for Future,Advances in technology,Advances in technology,Advances in technology,Advances in technology
Opportunities for Future,Increased private sector action,Increased private sector action,Increased private sector action,Increased private sector action
Opportunities for Future,New generation of peacebuilders,New generation of peacebuilders,New generation of peacebuilders,New generation of peacebuilders
Opportunities for Future,Increased intersection between peacebuilding and other sectors,Increased intersection between peacebuilding and other sectors,Increased intersection between peacebuilding and other sectors,Increased intersection between peacebuilding and other sectors
