level1,level2,level3,level4,level5
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Open source tools
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Knowledge and resource sharing
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Free resources
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Shared metrics
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Open data/sharing of DME staff
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Share DM&E frameworks
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Information sharing about developmental evaluation and other M&E formats
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,External sharing of available and relevant indicators and methods
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Information sharing on relvant methods/approaches for DME in this field
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Information sharing on DM&E practices and tools for peacebuilding
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,Open resources for information sharing
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Accessible DM&E Resources,DM&E more open to organizations
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Collaboration & Coordination,Increased communication
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Collaboration & Coordination,More coordination between DM&E projects
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Collaboration & Coordination,Collaboration and collective action
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Collaboration & Coordination,Collaboration x3
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Evidence-Building,Evidence building across interventions/studies for DM&E levels
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Evidence-Building,Show results of using DME to public
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Knowledge Sharing Platforms,Exphasis on publications and presentations of DM&E
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Knowledge Sharing Platforms,Expansion of programs such as DME for peace with biweekly webinars
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Knowledge Sharing Platforms,Prioritizing external sharing
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Knowledge Sharing Platforms,Organizing DM&E forums
M&E Impediments,Lack of individual and organizational capacity,Information Sharing,Knowledge Sharing Platforms,Sustaining DME collaboration platform initiatives
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Grant Processes,Resources and contingent methods for DM&E in proposals
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Grant Processes,Donors require DME funding within grants
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Grant Processes,Section of trainings for capacity development in grant applications
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Grant Processes,Funding allocation for DME (on the donors part)
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Funding for DM&E,Fund it
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Funding for DM&E,Non restrictive funding to build capacities for DME
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Funding for DM&E,Separate funding for programming and evaluation
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Funding for DM&E,Funding for DME education
M&E Impediments,Lack of individual and organizational capacity,Funding Structures,Funding for DM&E,Funding structures include DM&E
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Increased M&E support from organizations,Increased M&E support from organizations
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Prioritization of DME in organizational budgets,Prioritization of DME in organizational budgets
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,No fear of failure,No fear of failure
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Prioritize DM&E in project design,Prioritize DM&E in project design
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Prioritizing internal learning,Prioritizing internal learning
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Increased utilization of developmental evaluation,Increased utilization of developmental evaluation
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Organizational prioritization of investment in DME,Organizational prioritization of investment in DME
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,Budgeting for DME (on the organizations part),Budgeting for DME (on the organizations part)
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,"Evaluation can't end once the program ends, it needs to be carried out years after as well to see any long term impacts","Evaluation can't end once the program ends, it needs to be carried out years after as well to see any long term impacts"
M&E Impediments,Lack of individual and organizational capacity,Organizational Support,More organizational investment in DME,More organizational investment in DME
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Incorporation of input from specialists of social and behavioral sciences,Incorporation of input from specialists of social and behavioral sciences
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Get informed consent,Get informed consent
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Outsourcing M&E work from specialists,Outsourcing M&E work from specialists
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Partnerships,Partnerships
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Invest in more DME specialists,Invest in more DME specialists
M&E Impediments,Lack of individual and organizational capacity,Specialist Network,Invest in specialists,Invest in specialists
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Advocacy (towards donors) to fund M&E activities,Advocacy (towards donors) to fund M&E activities
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Advocacy (towards funders) for the importance of evaluaitons,Advocacy (towards funders) for the importance of evaluaitons
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Advocacy (about M&E practices) to policy makers,Advocacy (about M&E practices) to policy makers
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Advocate (about M&E designated budget) to funder groups,Advocate (about M&E designated budget) to funder groups
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Improved evaluation funding through policy,Improved evaluation funding through policy
M&E Impediments,Lack of individual and organizational capacity,Advocacy & Awareness Raising,Advocate for required M&E budget lines and activities,Advocate for required M&E budget lines and activities
M&E Impediments,Donors don’t require more rigorous DM&E,Donors don’t require more rigorous DM&E,Donors don’t require more rigorous DM&E,Donors don’t require more rigorous DM&E
M&E Impediments,Too small of a network,Too small of a network,Too small of a network,Too small of a network
M&E Impediments,Lack of shared learning and transparency,Lack of shared learning and transparency,Lack of shared learning and transparency,Lack of shared learning and transparency
M&E Impediments,Thrift funding for DM&E,Thrift funding for DM&E,Thrift funding for DM&E,Thrift funding for DM&E
M&E Impediments,"Unrealistic goals, expectations, and timelines","Unrealistic goals, expectations, and timelines","Unrealistic goals, expectations, and timelines","Unrealistic goals, expectations, and timelines"
M&E Impediments,Operational field challenges of DM&E,Operational field challenges of DM&E,Operational field challenges of DM&E,Operational field challenges of DM&E
